Medicare Part B Physician/Supplier BESS Data,,,,,
For Calendar Year 2005,,,,,
Code Ranges - 38100 - 38999,,,,,
,BESS REPORTS, CODE RANGES,,,
,80'S,,128,"$14,388.98 ","$11,477.34 "
,OTHER,,"2,062","$1,482,150.40 ","$1,175,719.62 "
,TOTAL,,"2,284","$1,532,822.21 ","$1,215,924.91 "
38765,80'S,,41,"$7,604.85 ","$6,068.97 "
,OTHER,,242,"$265,246.32 ","$209,743.28 "
,TOTAL,,283,"$272,851.17 ","$215,812.25 "
38770,80'S,,530,"$55,501.95 ","$43,949.58 "
,OTHER,,"1,750","$1,186,326.85 ","$943,652.13 "
,TOTAL,,"2,280","$1,241,828.80 ","$987,601.71 "
38780,80'S,,166,"$22,566.24 ","$17,850.51 "
,OTHER,,498,"$396,829.11 ","$316,955.76 "
,TOTAL,,664,"$419,395.35 ","$334,806.27 "
38790,OTHER,,"1,623","$104,168.85 ","$82,676.77 "
,TOTAL,,"1,623","$104,168.85 ","$82,676.77 "
38792,OTHER,,"36,462","$887,148.28 ","$703,530.17 "
,TOTAL,,"36,462","$887,148.28 ","$703,530.17 "
38794,OTHER,,15,"$2,424.93 ","$1,939.94 "
,TOTAL,,15,"$2,424.93 ","$1,939.94 "
38999,80'S,,13,$880.49 ,$704.40 
,OTHER,,341,"$91,456.65 ","$72,944.72 "
,TOTAL,,354,"$92,337.14 ","$73,649.12 "
,,,,,
